brinkey label	brinkey ppn	brinkey ppn hierarchy	hierarchy depth
Lough Neagh	111228999	075634031,075631008,111228999	3
Ealing	111772656	075634031,075631008,111772656	3
Acton	11177277X	075634031,075631008,11177277X	3
Staines	112480829	075634031,075631008,112480829	3
Rowhedge	112482619	075634031,075631008,112482619	3
Haywards Heath	11284748X	075634031,075631008,11284748X	3
Pelton	113865295	075634031,075631008,113865295	3
Hadleigh	113941927	075634031,075631008,113941927	3
Perth (Groot-Brittannië)	113944497	075634031,075631008,113944497	3
Aberdour	11394490X	075634031,075631008,11394490X	3
Burntisland	113944934	075634031,075631008,113944934	3
Mildenhall	113945140	075634031,075631008,113945140	3
Gravesend (Groot-Brittannië)	113945345	075634031,075631008,113945345	3
Alton	117358967	075634031,075631008,117358967	3
Weston-super-Mare	117359408	075634031,075631008,117359408	3
Bricket Wood	118795597	075634031,075631008,118795597	3
Cowdenbeath	121033821	075634031,075631008,121033821	3
Uttoxeter	121036111	075634031,075631008,121036111	3
Caverswall	121036766	075634031,075631008,121036766	3
Edinburgh	124443907	075634031,075631008,124443907	3
Ferryhill	125147368	075634031,075631008,125147368	3
Spondon	125371578	075634031,075631008,125371578	3
Alloa	125371756	075634031,075631008,125371756	3
Southampton	097867225	075634031,075631008,097867225	3
Silsden	098870971	075634031,075631008,098870971	3
Prestwich	100953603	075634031,075631008,100953603	3
Tiverton	100953905	075634031,075631008,100953905	3
Queensferry	101180217	075634031,075631008,101180217	3
Sandgate	105338168	075634031,075631008,105338168	3
Dunfermline	10689997X	075634031,075631008,10689997X	3
Rosyth	106900013	075634031,075631008,106900013	3
Kippax	107205920	075634031,075631008,107205920	3
Prescot	107206102	075634031,075631008,107206102	3
Worthing	107208725	075634031,075631008,107208725	3
Cumbria	10848324X	075634031,075631008,10848324X	3
Hastings	108483592	075634031,075631008,108483592	3
Llangollen	108739686	075634031,075631008,108739686	3
Redcar	108740226	075634031,075631008,108740226	3
Ossett	109949323	075634031,075631008,109949323	3
Winchester	109949773	075634031,075631008,109949773	3
Birchington	110505700	075634031,075631008,110505700	3
Westgate-on-Sea	110505719	075634031,075631008,110505719	3
Boston (Groot-Brittannië)	111774144	075634031,075631008,111774144	3
Sussex	111940710	075634031,075631008,111940710	3
Kent	111940737	075634031,075631008,111940737	3
Shirebrook	112497896	075634031,075631008,112497896	3
Lanchester	113862490	075634031,075631008,113862490	3
Folkestone Warren	113863675	075634031,075631008,113863675	3
Grantham	113864760	075634031,075631008,113864760	3
Hemel Hempstead	118641646	075634031,075631008,118641646	3
Harborough	11879650X	075634031,075631008,11879650X	3
Loftus	118797743	075634031,075631008,118797743	3
Broadstairs	119759446	075634031,075631008,119759446	3
Redbridge	120945193	075634031,075631008,120945193	3
Kingston upon Hull	12399327X	075634031,075631008,12399327X	3
Marlow	125147716	075634031,075631008,125147716	3
Letchworth Garden City	125147988	075634031,075631008,125147988	3
Orpington	125148240	075634031,075631008,125148240	3
Clevedon	125371845	075634031,075631008,125371845	3
Epping	125533187	075634031,075631008,125533187	3
Derwentside	125533624	075634031,075631008,125533624	3
Calne	125626843	075634031,075631008,125626843	3
Frindsbury	125627246	075634031,075631008,125627246	3
Strood	125627319	075634031,075631008,125627319	3
Chatham	125627904	075634031,075631008,125627904	3
Farnham	125522193	075634031,075631008,125522193	3
Buckie	12562316X	075634031,075631008,12562316X	3
Greenock	125623313	075634031,075631008,125623313	3
Chapel-en-le-Frith	138877831	075634031,075631008,138877831	3
Berwick-upon-Tweed	13941441X	075634031,075631008,13941441X	3
Shetland Islands	139414908	075634031,075631008,139414908	3
Abergavenny	136154085	075634031,075631008,136154085	3
Bordon	139488510	075634031,075631008,139488510	3
Whitehill	139488618	075634031,075631008,139488618	3
Holderness	13948874X	075634031,075631008,13948874X	3
Hurstpierpoint	140305912	075634031,075631008,140305912	3
Great Gransden	140307222	075634031,075631008,140307222	3
North Wingfield	140308687	075634031,075631008,140308687	3
Willington	140935290	075634031,075631008,140935290	3
Shamel Hundred	140962514	075634031,075631008,140962514	3
Cliftonville	141553316	075634031,075631008,141553316	3
Bishopbriggs	142223751	075634031,075631008,142223751	3
Runcorn	142686662	075634031,075631008,142686662	3
Haslemere	142909882	075634031,075631008,142909882	3
Little Gransden	140519459	075634031,075631008,140519459	3
Hatfield Peverel	143212303	075634031,075631008,143212303	3
Hillfoots	140931325	075634031,075631008,140931325	3
Limekilns	140932321	075634031,075631008,140932321	3
Culross	140932356	075634031,075631008,140932356	3
Charlestown	140932364	075634031,075631008,140932364	3
Minster-in-Sheppey	140932593	075634031,075631008,140932593	3
Bollington	143426540	075634031,075631008,143426540	3
Saltcoats	142914630	075634031,075631008,142914630	3
Cuffley	143803506	075634031,075631008,143803506	3
Southend-on-Sea	143803638	075634031,075631008,143803638	3
Llandudno	143803891	075634031,075631008,143803891	3
Banff	143804103	075634031,075631008,143804103	3
Gloucester	144148498	075634031,075631008,144148498	3
Up Holland	146332008	075634031,075631008,146332008	3
Chigwell	146956737	075634031,075631008,146956737	3
Loughton	146956753	075634031,075631008,146956753	3
Whitefield	146957067	075634031,075631008,146957067	3
Manningtree	149116292	075634031,075631008,149116292	3
Mistley	149116314	075634031,075631008,149116314	3
Lawford	149116349	075634031,075631008,149116349	3
South Moor	149524404	075634031,075631008,149524404	3
Elmbridge Borough	149524544	075634031,075631008,149524544	3
Clackmannanshire	152294856	075634031,075631008,152294856	3
Langham	15408445X	075634031,075631008,15408445X	3
Dundee	159494214	075634031,075631008,159494214	3
Lochwinnoch	159494265	075634031,075631008,159494265	3
East Calder	160573327	075634031,075631008,160573327	3
Mid Calder	160573343	075634031,075631008,160573343	3
West Calder	16057336X	075634031,075631008,16057336X	3
Teesdale	160962218	075634031,075631008,160962218	3
Stevenston	16369723X	075634031,075631008,16369723X	3
Ardrossan	163697264	075634031,075631008,163697264	3
Beverley	164403221	075634031,075631008,164403221	3
Devon	16849065X	075634031,075631008,16849065X	3
Cornwall	168490706	075634031,075631008,168490706	3
Jarrow	172168333	075634031,075631008,172168333	3
Barry	176538488	075634031,075631008,176538488	3
Hadley	176538704	075634031,075631008,176538704	3
Watford	18271683X	075634031,075631008,18271683X	3
Walton Basin	185545041	075634031,075631008,185545041	3
Inchinnan	189546638	075634031,075631008,189546638	3
Durham (county)	15405366X	075634031,075631008,15405366X	3
Burbage	154644595	075634031,075631008,154644595	3
Peterborough	154841315	075634031,075631008,154841315	3
Southborough	162634757	075634031,075631008,162634757	3
High Brooms (Tunbridge Wells)	162634773	075634031,075631008,162634773	3
Haverfordwest	163934401	075634031,075631008,163934401	3
Barrowford	163935718	075634031,075631008,163935718	3
Horsley	164271775	075634031,075631008,164271775	3
Havering	164453792	075634031,075631008,164453792	3
Yorkshire	164453865	075634031,075631008,164453865	3
Birmingham	169288854	075634031,075631008,169288854	3
Zuid-Engeland	170631664	075634031,075631008,170631664	3
Dymchurch	173855156	075634031,075631008,173855156	3
Chorley	175478368	075634031,075631008,175478368	3
Carnoustie	17547883X	075634031,075631008,17547883X	3
Rowlands Castle	175536139	075634031,075631008,175536139	3
Armadale	175843880	075634031,075631008,175843880	3
Bury Saint Edmunds	182765520	075634031,075631008,182765520	3
Tavistock	191400939	075634031,075631008,191400939	3
Orrell	192697684	075634031,075631008,192697684	3
Piercebridge	202504646	075634031,075631008,202504646	3
Gainford	202504654	075634031,075631008,202504654	3
Wirksworth	202504859	075634031,075631008,202504859	3
Engeland	075630478	075634031,075631008,075630478	3
Engeland ; geschiedenis	075653532	075634031,075631008,075630478,075653532	4
Noord-Engeland	304328359	075634031,075631008,075630478,304328359	4
Truro	212785257	075634031,075631008,212785257	3
East Anglia	213798956	075634031,075631008,213798956	3
Eastbourne	204332028	075634031,075631008,204332028	3
Boldon	204333695	075634031,075631008,204333695	3
Mersey (rivier)	204457653	075634031,075631008,204457653	3
Solent	212959204	075634031,075631008,212959204	3
Bakewell	217680704	075634031,075631008,217680704	3
Chalfont St. Peter	075638770	075634031,075631008,075638770	3
Whitley	217624677	075634031,075631008,217624677	3
Ulverston	075641232	075634031,075631008,075641232	3
Hornsea	075641240	075634031,075631008,075641240	3
Snodland	225921278	075634031,075631008,225921278	3
Rustington	225921383	075634031,075631008,225921383	3
Burmarsh	225922002	075634031,075631008,225922002	3
Stonehenge	229331300	075634031,075631008,229331300	3
Milngavie	075641259	075634031,075631008,075641259	3
Aylesford	075641267	075634031,075631008,075641267	3
Hove (Groot-Brittannië)	075641275	075634031,075631008,075641275	3
Widnes	229580947	075634031,075631008,229580947	3
Richmond	075641283	075634031,075631008,075641283	3
Abergele	075641291	075634031,075631008,075641291	3
Tring	075641305	075634031,075631008,075641305	3
Audley	075641313	075634031,075631008,075641313	3
Chard	075641488	075634031,075631008,075641488	3
Harpenden	075641496	075634031,075631008,075641496	3
Scarborough	07564150X	075634031,075631008,07564150X	3
Rutherglen	075641518	075634031,075631008,075641518	3
Aldershot	075641526	075634031,075631008,075641526	3
Northallerton	075641534	075634031,075631008,075641534	3
Brightlingsea	075641542	075634031,075631008,075641542	3
Great Missenden	230077234	075634031,075631008,230077234	3
Lanark	075641666	075634031,075631008,075641666	3
Barnard Castle	075641674	075634031,075631008,075641674	3
Kilwinning	075641690	075634031,075631008,075641690	3
Whitby	075643626	075634031,075631008,075643626	3
Oswestry	075643901	075634031,075631008,075643901	3
Huddersfield	075644142	075634031,075631008,075644142	3
Currie	075644193	075634031,075631008,075644193	3
Exmouth	075644541	075634031,075631008,075644541	3
Budleigh Salterton	07564455X	075634031,075631008,07564455X	3
Newcastle-under-Lyme	075644606	075634031,075631008,075644606	3
Darlington	075644614	075634031,075631008,075644614	3
Dinas Powys	075644657	075634031,075631008,075644657	3
Street	075645629	075634031,075631008,075645629	3
Knaresborough	075645858	075634031,075631008,075645858	3
Newport (Gwent)	075645866	075634031,075631008,075645866	3
Harlow	075645920	075634031,075631008,075645920	3
Alnwick	075645971	075634031,075631008,075645971	3
Caerphilly	075646048	075634031,075631008,075646048	3
Bradford	075646188	075634031,075631008,075646188	3
Colchester	075646196	075634031,075631008,075646196	3
Brighton	075646331	075634031,075631008,075646331	3
Chelmsford	075646358	075634031,075631008,075646358	3
Princes Risborough	075646366	075634031,075631008,075646366	3
Derby (Groot-Brittannië)	075647524	075634031,075631008,075647524	3
Thorne	075647532	075634031,075631008,075647532	3
Lincoln	075647826	075634031,075631008,075647826	3
Christchurch	07564813X	075634031,075631008,07564813X	3
Godalming	075648229	075634031,075631008,075648229	3
Brentwood	075648237	075634031,075631008,075648237	3
Weymouth	075648245	075634031,075631008,075648245	3
Melcombe Regis	075648253	075634031,075631008,075648253	3
Ravenscar	07564827X	075634031,075631008,07564827X	3
Scalby	075648288	075634031,075631008,075648288	3
South Shields	075652390	075634031,075631008,075652390	3
Ingatestone	075652404	075634031,075631008,075652404	3
Elstree	075652412	075634031,075631008,075652412	3
Borehamwood	075652420	075634031,075631008,075652420	3
Prudhoe	075652439	075634031,075631008,075652439	3
Ilkley	075652447	075634031,075631008,075652447	3
Stockton-on-Tees	075652625	075634031,075631008,075652625	3
Undercliff	075653036	075634031,075631008,075653036	3
Saint Andrews	23459179X	075634031,075631008,23459179X	3
Pembury	234592788	075634031,075631008,234592788	3
Kirkcaldy	234592907	075634031,075631008,234592907	3
Hessle	234980605	075634031,075631008,234980605	3
Wells	237867400	075634031,075631008,237867400	3
Warrington	239365119	075634031,075631008,239365119	3
Fordingbridge	241388015	075634031,075631008,241388015	3
Buckhaven	241388724	075634031,075631008,241388724	3
Methil	241388767	075634031,075631008,241388767	3
Angmering	242340121	075634031,075631008,242340121	3
Port Sunlight	242340148	075634031,075631008,242340148	3
Union Canal	23988535X	075634031,075631008,23988535X	3
Manhood Peninsula	240247671	075634031,075631008,240247671	3
Gosforth	241530792	075634031,075631008,241530792	3
Port Isaac	25834377X	075634031,075631008,25834377X	3
Suffolk	261981390	075634031,075631008,261981390	3
Bacton	271602902	075634031,075631008,271602902	3
Mablethorpe	075653087	075634031,075631008,075653087	3
North Walsham	075653184	075634031,075631008,075653184	3
Cheshire	25232918X	075634031,075631008,25232918X	3
Cardington	297763172	075634031,075631008,297763172	3
Schotse Hooglanden	292799942	075634031,075631008,292799942	3
Calverley	335981739	075634031,075631008,335981739	3
Morar	400815907	075634031,075631008,400815907	3
Poole	075668793	075634031,075631008,075668793	3
Cleveland (GBR.)	075668807	075634031,075631008,075668807	3
Windermere	075668815	075634031,075631008,075668815	3
Lake District	075668823	075634031,075631008,075668823	3
Chatteris	075669005	075634031,075631008,075669005	3
Teignmouth	075669013	075634031,075631008,075669013	3
Farnborough	075669153	075634031,075631008,075669153	3
Cove	075669161	075634031,075631008,075669161	3
Broomfield	075669188	075634031,075631008,075669188	3
Sandy	075669293	075634031,075631008,075669293	3
Meopham	075669374	075634031,075631008,075669374	3
Berkshire	39078186X	075634031,075631008,39078186X	3
Norfolk	391525492	075634031,075631008,391525492	3
Rickmansworth	075673703	075634031,075631008,075673703	3
Chorleywood	075673711	075634031,075631008,075673711	3
Danbury	075673754	075634031,075631008,075673754	3
Little Baddow	075673762	075634031,075631008,075673762	3
Crawley	075674114	075634031,075631008,075674114	3
Beckenham	075674181	075634031,075631008,075674181	3
Braintree	07567419X	075634031,075631008,07567419X	3
Bocking	075674203	075634031,075631008,075674203	3
Hinckley	075674890	075634031,075631008,075674890	3
Auchterarder	075674904	075634031,075631008,075674904	3
East Kilbride	075674912	075634031,075631008,075674912	3
Tynemouth	075674920	075634031,075631008,075674920	3
Waterbeach	07567517X	075634031,075631008,07567517X	3
Nairn	075675188	075634031,075631008,075675188	3
Ongar	075675196	075634031,075631008,075675196	3
Hebriden	075678594	075634031,075631008,075678594	3
Islay	273284576	075634031,075631008,075678594,273284576	4
Oxford	07567906X	075634031,075631008,07567906X	3
Clay Cross	075679493	075634031,075631008,075679493	3
Renfrew	075684144	075634031,075631008,075684144	3
West Bromwich	075684233	075634031,075631008,075684233	3
Ampthill	075684241	075634031,075631008,075684241	3
Liverpool	075684810	075634031,075631008,075684810	3
Warlingham	075685191	075634031,075631008,075685191	3
Dorking	075685523	075634031,075631008,075685523	3
Gourock	075685558	075634031,075631008,075685558	3
Inverkip	075685566	075634031,075631008,075685566	3
Wemyss Bay	075685574	075634031,075631008,075685574	3
Prestatyn	075688506	075634031,075631008,075688506	3
Prestonpans	07568862X	075634031,075631008,07568862X	3
Madeley	075688638	075634031,075631008,075688638	3
Hoo Hundred	075688808	075634031,075631008,075688808	3
Long Eaton	075688816	075634031,075631008,075688816	3
Halifax	075688824	075634031,075631008,075688824	3
Aberdeen	075688832	075634031,075631008,075688832	3
Fishguard	075688840	075634031,075631008,075688840	3
Goodwick	075688859	075634031,075631008,075688859	3
